Suburb,SalesDifference,NumberofSales
Caulfield East,-34.2484076433121,9
Caulfield North,-8.248407643312099,35
Caulfield South,3.751592356687901,47
Chadstone,-8.248407643312099,35
Chelsea,-38.2484076433121,5
Chelsea Heights,-39.2484076433121,4
Cheltenham,2.751592356687901,46
Chirnside Park,-41.2484076433121,2
Clarinda,-39.2484076433121,4
Clayton,-30.2484076433121,13
Clayton South,-32.2484076433121,11
Clifton Hill,13.751592356687901,57
Coburg,146.7515923566879,190
Coburg North,12.751592356687901,56
Collingwood,21.7515923566879,65
Coolaroo,-39.2484076433121,4
Craigieburn,3.751592356687901,47
Cranbourne,-40.2484076433121,3
Cranbourne North,-41.2484076433121,2
Cremorne,-18.2484076433121,25
Croydon,-10.248407643312099,33
Croydon Hills,-39.2484076433121,4
Croydon North,-36.2484076433121,7
Croydon South,-42.2484076433121,1
Dallas,-37.2484076433121,6
Dandenong,-30.2484076433121,13
Dandenong North,-27.2484076433121,16
Deepdene,-41.2484076433121,2
Deer Park,-29.2484076433121,14
Delahey,-37.2484076433121,6
Derrimut,-38.2484076433121,5
Diamond Creek,-37.2484076433121,6
Diggers Rest,-41.2484076433121,2
Dingley Village,-22.2484076433121,21
Docklands,-40.2484076433121,3
Doncaster,72.7515923566879,116
Doncaster East,-2.248407643312099,41
Donvale,-30.2484076433121,13
Doreen,-37.2484076433121,6
Doveton,-36.2484076433121,7
Eaglemont,-20.2484076433121,23
East Melbourne,-21.2484076433121,22
Edithvale,-34.2484076433121,9
Elsternwick,17.7515923566879,61
Eltham,-18.2484076433121,25
Eltham North,-30.2484076433121,13
Elwood,87.7515923566879,131
Emerald,-42.2484076433121,1
Endeavour Hills,-38.2484076433121,5
Epping,8.751592356687901,52
Essendon,176.7515923566879,220
Essendon North,-21.2484076433121,22
Essendon West,-17.2484076433121,26
Fairfield,-0.24840764331209897,43
Fawkner,58.7515923566879,102
Ferntree Gully,-21.2484076433121,22
Fitzroy,15.751592356687901,59
Fitzroy North,49.7515923566879,93
Flemington,18.7515923566879,62
Footscray,88.7515923566879,132
Forest Hill,-21.2484076433121,22
Frankston,-19.2484076433121,24
Frankston North,-39.2484076433121,4
Frankston South,-27.2484076433121,16
Gardenvale,-37.2484076433121,6
Gisborne,-35.2484076433121,8
Gladstone Park,-23.2484076433121,20
Glen Huntly,-26.2484076433121,17
Glen Iris,151.7515923566879,195
Glen Waverley,1.751592356687901,45
Glenroy,115.7515923566879,159
Gowanbrae,-19.2484076433121,24
Greensborough,-7.248407643312099,36
Greenvale,-26.2484076433121,17
Hadfield,18.7515923566879,62
Hallam,-38.2484076433121,5
Hampton,86.7515923566879,130
Hampton East,-18.2484076433121,25
Hampton Park,-39.2484076433121,4
Hawthorn,147.7515923566879,191
Hawthorn East,75.7515923566879,119
Healesville,-42.2484076433121,1
